type,price,location,bath,area,bed,Possession,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Public Transport,Nearby Restaurants,Security Staff
Residential Plot,PKR1.75 Crore,"Bahria Hamlet, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,1.1 Kanal,-,-,-,-,-,-,-,-,-,-,-,-,-
Residential Plot,PKR1.7 Crore,"Bahria Town Phase 8 - Block C, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,10 Marla,-,-,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-,Yes
Residential Plot,PKR1.35 Crore,"Bahria Town Phase 8 - Block I, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,10 Marla,-,Yes,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-,Yes
Residential Plot,PKR1.75 Crore,"Bahria Town Phase 8 - Sector F-4, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,1 Kanal,-,-,-,-,-,-,-,-,-,-,-,-,-
Residential Plot,PKR1.4 Crore,"Bahria Town Phase 8 - Sector F-1, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,10 Marla,-,-,-,-,-,-,-,-,-,-,-,-,-
Residential Plot,PKR62 Lakh,"Rose Garden, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,5 Marla,-,-,-,-,-,-,-,-,-,-,-,-,-
Residential Plot,PKR67 Lakh,"Bahria Town Phase 8 - Block L, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,5 Marla,-,Yes,Yes,Yes,Yes,Yes,-,-,-,-,-,-,Yes
Residential Plot,PKR67 Lakh,"Bahria Town Phase 8 - Block L, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,5 Marla,-,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Residential Plot,PKR1.95 Crore,"Bahria Town Phase 8 - Block E, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,1 Kanal,-,Yes,Yes,Yes,Yes,Yes,Yes,-,-,-,-,-,Yes
Residential Plot,PKR2.45 Crore,"Bahria Town Phase 8 - Block A, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,1.2 Kanal,-,Yes,Yes,Yes,Yes,Yes,Yes,-,-,-,-,-,Yes
Residential Plot,PKR1.4 Crore,"Bahria Town Phase 8 - Block H, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,14 Marla,-,Yes,Yes,Yes,Yes,Yes,Yes,-,-,-,-,-,Yes
Residential Plot,PKR2.45 Crore,"Bahria Town Phase 8 - Block A, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,1.2 Kanal,-,Yes,Yes,Yes,Yes,Yes,Yes,-,-,-,-,-,Yes
Residential Plot,PKR1.95 Crore,"Bahria Town Phase 8 - Block A, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,1.3 Kanal,-,-,-,-,-,-,-,-,-,-,-,-,-
